,GAME_ID,PLAYER_NAME,PTS_home_DirkNowitzki,FG_PCT_home_DirkNowitzki,FT_PCT_home_DirkNowitzki,FG3_PCT_home_DirkNowitzki,AST_home_DirkNowitzki,REB_home_DirkNowitzki,PTS_away_DirkNowitzki,FG_PCT_away_DirkNowitzki,FT_PCT_away_DirkNowitzki,FG3_PCT_away_DirkNowitzki,AST_away_DirkNowitzki,REB_away_DirkNowitzki,MIN_DirkNowitzki,FGM_DirkNowitzki,FGA_DirkNowitzki,FG_PCT_DirkNowitzki,FG3M_DirkNowitzki,FG3A_DirkNowitzki,FG3_PCT_DirkNowitzki,FTM_DirkNowitzki,FTA_DirkNowitzki,FT_PCT_DirkNowitzki,OREB_DirkNowitzki,DREB_DirkNowitzki,REB_DirkNowitzki,AST_DirkNowitzki,STL_DirkNowitzki,BLK_DirkNowitzki,TO_DirkNowitzki,PF_DirkNowitzki,PLUS_MINUS_DirkNowitzki,PTS_DirkNowitzki
5146,21600005,Dirk Nowitzki,0.7473684210526316,0.5933014354066986,0.6767537826685007,0.6247030878859857,0.5641025641025641,0.660377358490566,0.6989247311827957,0.4549878345498783,0.67561260210035,0.47892720306513414,0.5238095238095238,0.47540983606557374,0.63646408839779,0.3333333333333333,0.38,0.421,0.2857142857142857,0.375,0.444,0.08,0.05128205128205128,1.0,0.0,0.34782608695652173,0.25806451612903225,0.08333333333333333,0.2,0.2,0.16666666666666666,0.16666666666666666,0.4666666666666667,0.3548387096774194
5147,11600098,Dirk Nowitzki,0.4421052631578947,0.6124401913875598,0.9229711141678129,0.2743467933491686,0.46153846153846156,0.6037735849056604,0.20430107526881722,0.3260340632603406,0.6662777129521588,0.30395913154533843,0.30952380952380953,0.13114754098360656,0.4781767955801105,0.125,0.16,0.375,0.07142857142857142,0.041666666666666664,1.0,0.04,0.05128205128205128,0.5,0.0,0.17391304347826086,0.12903225806451613,0.041666666666666664,0.1,0.0,0.25,0.3333333333333333,0.25555555555555554,0.12903225806451613
5148,11600091,Dirk Nowitzki,0.3368421052631579,0.277511961722488,0.8858321870701513,0.2600950118764844,0.3076923076923077,0.4716981132075472,0.5376344086021505,0.4476885644768856,0.6662777129521588,0.39335887611749687,0.3333333333333333,0.5573770491803278,0.42044198895027624,0.16666666666666666,0.18,0.444,0.0,0.041666666666666664,0.0,0.16,0.10256410256410256,1.0,0.0,0.21739130434782608,0.16129032258064516,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.34444444444444444,0.1935483870967742
5149,11600064,Dirk Nowitzki,0.5578947368421052,0.3516746411483251,0.7152682255845941,0.46793349168646065,0.3333333333333333,0.5471698113207547,0.5483870967741935,0.4452554744525547,0.7082847141190198,0.6385696040868455,0.2857142857142857,0.5901639344262295,0.32541436464088397,0.16666666666666666,0.26,0.308,0.0,0.0,0.0,0.08,0.05128205128205128,1.0,0.08333333333333333,0.30434782608695654,0.25806451612903225,0.0,0.0,0.0,0.0,0.16666666666666666,0.4111111111111111,0.16129032258064516
5150,11600046,Dirk Nowitzki,0.5789473684210527,0.49760765550239233,0.733149931224209,0.3812351543942993,0.4358974358974359,0.660377358490566,0.5698924731182796,0.38929440389294406,0.6592765460910152,0.4968071519795658,0.47619047619047616,0.5573770491803278,0.2654696132596685,0.125,0.12,0.5,0.0,0.0,0.0,0.08,0.05128205128205128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5111111111111111,0.12903225806451613
5151,41500165,Dirk Nowitzki,0.6210526315789474,0.5956937799043062,0.7427785419532323,0.39548693586698325,0.28205128205128205,0.4716981132075472,0.5161290322580645,0.5425790754257906,0.8051341890315052,0.425287356321839,0.47619047619047616,0.2459016393442623,0.575414364640884,0.3333333333333333,0.32,0.5,0.21428571428571427,0.25,0.5,0.2,0.1282051282051282,1.0,0.0,0.13043478260869565,0.0967741935483871,0.0,0.0,0.1,0.08333333333333333,0.5,0.3888888888888889,0.3870967741935484
5152,41500164,Dirk Nowitzki,0.5157894736842106,0.6244019138755981,0.7579092159559836,0.4133016627078384,0.4358974358974359,0.3018867924528302,0.6774193548387096,0.6909975669099757,0.6569428238039673,0.5593869731800766,0.5238095238095238,0.36065573770491804,0.662707182320442,0.5,0.42,0.5710000000000001,0.0,0.041666666666666664,0.0,0.12,0.07692307692307693,1.0,0.08333333333333333,0.30434782608695654,0.25806451612903225,0.08333333333333333,0.1,0.0,0.16666666666666666,0.0,0.3888888888888889,0.43548387096774194
5153,41500163,Dirk Nowitzki,0.45263157894736844,0.5191387559808611,0.5680880330123795,0.30997624703087884,0.41025641025641024,0.22641509433962265,0.8064516129032258,0.8053527980535281,0.7001166861143524,0.7100893997445723,0.5714285714285714,0.36065573770491804,0.5395027624309392,0.2916666666666667,0.24,0.583,0.0,0.041666666666666664,0.0,0.08,0.07692307692307693,0.667,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.20833333333333334,0.1,0.2,0.0,0.3333333333333333,0.4444444444444444,0.25806451612903225
5154,41500162,Dirk Nowitzki,0.2631578947368421,0.19138755980861247,0.7702888583218707,0.2600950118764844,0.07692307692307693,0.6981132075471698,0.3118279569892473,0.4403892944038932,0.4469078179696616,0.3358876117496808,0.23809523809523808,0.4098360655737705,0.6215469613259669,0.2916666666666667,0.38,0.368,0.07142857142857142,0.125,0.3329999999999999,0.08,0.05128205128205128,1.0,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.041666666666666664,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.27419354838709675
5155,41500161,Dirk Nowitzki,0.5157894736842106,0.4617224880382775,0.8033012379642366,0.4073634204275533,0.38461538461538464,0.7358490566037735,0.15053763440860216,0.12652068126520677,0.5507584597432905,0.28352490421455945,0.2857142857142857,0.21311475409836064,0.41961325966850826,0.2916666666666667,0.3,0.467,0.0,0.0,0.0,0.16,0.10256410256410256,1.0,0.0,0.17391304347826086,0.12903225806451613,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.2903225806451613
