,GAME_ID,PLAYER_NAME,PTS_home_KlayThompson,FG_PCT_home_KlayThompson,FT_PCT_home_KlayThompson,FG3_PCT_home_KlayThompson,AST_home_KlayThompson,REB_home_KlayThompson,PTS_away_KlayThompson,FG_PCT_away_KlayThompson,FT_PCT_away_KlayThompson,FG3_PCT_away_KlayThompson,AST_away_KlayThompson,REB_away_KlayThompson,MIN_KlayThompson,FGM_KlayThompson,FGA_KlayThompson,FG_PCT_KlayThompson,FG3M_KlayThompson,FG3A_KlayThompson,FG3_PCT_KlayThompson,FTM_KlayThompson,FTA_KlayThompson,FT_PCT_KlayThompson,OREB_KlayThompson,DREB_KlayThompson,REB_KlayThompson,AST_KlayThompson,STL_KlayThompson,BLK_KlayThompson,TO_KlayThompson,PF_KlayThompson,PLUS_MINUS_KlayThompson,PTS_KlayThompson
11979,21401229,Klay Thompson,0.7789473684210526,0.6339712918660286,0.6767537826685007,0.5510688836104511,0.5641025641025641,0.4528301886792453,0.7526881720430108,0.7201946472019465,0.8051341890315052,0.425287356321839,0.5714285714285714,0.32786885245901637,0.2654696132596685,0.3333333333333333,0.24,0.667,0.35714285714285715,0.2916666666666667,0.7140000000000001,0.16,0.10256410256410256,1.0,0.0,0.13043478260869565,0.0967741935483871,0.0,0.0,0.1,0.16666666666666666,0.0,0.5555555555555556,0.4032258064516129
11980,21401212,Klay Thompson,0.5473684210526316,0.6459330143540669,0.6437414030261348,0.6437054631828979,0.5641025641025641,0.41509433962264153,0.5483870967741935,0.4184914841849148,0.7666277712952159,0.425287356321839,0.47619047619047616,0.39344262295081966,0.4966850828729281,0.625,0.4,0.75,0.5714285714285714,0.4166666666666667,0.8,0.16,0.10256410256410256,1.0,0.0,0.21739130434782608,0.16129032258064516,0.125,0.1,0.0,0.16666666666666666,0.0,0.7555555555555555,0.6774193548387096
11981,21401192,Klay Thompson,0.5368421052631579,0.4665071770334928,0.6066024759284733,0.4216152019002375,0.5128205128205128,0.6226415094339622,0.4838709677419355,0.47931873479318704,0.7304550758459744,0.5849297573435503,0.5476190476190477,0.32786885245901637,0.6279005524861878,0.4166666666666667,0.5,0.4,0.21428571428571427,0.375,0.3329999999999999,0.0,0.0,0.0,0.08333333333333333,0.043478260869565216,0.06451612903225806,0.125,0.3,0.0,0.08333333333333333,0.16666666666666666,0.6888888888888889,0.3709677419354839
11982,21401174,Klay Thompson,0.6,0.6602870813397127,0.8473177441540578,0.5486935866983372,0.48717948717948717,0.5094339622641509,0.5268817204301075,0.5425790754257906,0.7082847141190198,0.37292464878671777,0.5714285714285714,0.3442622950819672,0.5977900552486188,0.4166666666666667,0.42,0.476,0.21428571428571427,0.20833333333333334,0.6,0.12,0.10256410256410256,0.75,0.0,0.17391304347826086,0.12903225806451613,0.08333333333333333,0.1,0.1,0.16666666666666666,0.5,0.6,0.41935483870967744
11983,21401156,Klay Thompson,0.4631578947368421,0.42344497607655496,0.6327372764786795,0.5629453681710213,0.4358974358974359,0.5283018867924528,0.4731182795698925,0.4768856447688564,0.6499416569428238,0.5223499361430396,0.5,0.4918032786885246,0.4980662983425414,0.08333333333333333,0.2,0.2,0.07142857142857142,0.20833333333333334,0.2,0.08,0.05128205128205128,1.0,0.0,0.13043478260869565,0.0967741935483871,0.041666666666666664,0.1,0.1,0.3333333333333333,0.3333333333333333,0.45555555555555555,0.11290322580645161
11984,21401150,Klay Thompson,0.5052631578947369,0.65311004784689,0.7248968363136177,0.39548693586698325,0.48717948717948717,0.5660377358490566,0.3870967741935484,0.4452554744525547,0.41656942823803966,0.40996168582375486,0.5,0.3114754098360656,0.399171270718232,0.125,0.22,0.273,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.1,0.0,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.0967741935483871
11985,21401142,Klay Thompson,0.5368421052631579,0.40191387559808606,0.6176066024759285,0.2232779097387173,0.15384615384615385,0.5094339622641509,0.7204301075268817,0.5036496350364961,0.6721120186697784,0.4968071519795658,0.5714285714285714,0.5737704918032787,0.45883977900552486,0.2916666666666667,0.34,0.412,0.35714285714285715,0.4166666666666667,0.5,0.08,0.10256410256410256,0.5,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.125,0.2,0.0,0.16666666666666666,0.6666666666666666,0.5888888888888889,0.3387096774193548
11986,21401126,Klay Thompson,0.5052631578947369,0.4904306220095694,0.5144429160935351,0.4572446555819477,0.5384615384615384,0.6226415094339622,0.5376344086021505,0.537712895377129,0.5962660443407235,0.3358876117496808,0.5,0.4426229508196721,0.5383977900552486,0.25,0.28,0.429,0.14285714285714285,0.2916666666666667,0.286,0.08,0.05128205128205128,1.0,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.25,0.0,0.1,0.0,0.16666666666666666,0.43333333333333335,0.25806451612903225
11987,21401111,Klay Thompson,0.49473684210526314,0.43540669856459324,0.7909215955983493,0.3242280285035629,0.28205128205128205,0.4528301886792453,0.5806451612903226,0.48905109489051096,0.7257876312718786,0.4865900383141763,0.5714285714285714,0.3770491803278688,0.567403314917127,0.3333333333333333,0.42,0.381,0.21428571428571427,0.2916666666666667,0.429,0.24,0.1794871794871795,0.857,0.16666666666666666,0.2608695652173913,0.25806451612903225,0.16666666666666666,0.1,0.0,0.08333333333333333,0.3333333333333333,0.5,0.4032258064516129
11988,21401089,Klay Thompson,0.37894736842105264,0.29186602870813394,0.7854195323246218,0.15795724465558195,0.41025641025641024,0.4716981132075472,0.5591397849462365,0.6472019464720195,0.8331388564760793,0.6130268199233717,0.5476190476190477,0.4098360655737705,0.5646408839779006,0.3333333333333333,0.34,0.471,0.21428571428571427,0.3333333333333333,0.375,0.08,0.05128205128205128,1.0,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.16666666666666666,0.2,0.1,0.16666666666666666,0.5,0.8111111111111111,0.3387096774193548
