,GAME_ID,PLAYER_NAME,PTS_home_JimmyButler,FG_PCT_home_JimmyButler,FT_PCT_home_JimmyButler,FG3_PCT_home_JimmyButler,AST_home_JimmyButler,REB_home_JimmyButler,PTS_away_JimmyButler,FG_PCT_away_JimmyButler,FT_PCT_away_JimmyButler,FG3_PCT_away_JimmyButler,AST_away_JimmyButler,REB_away_JimmyButler,MIN_JimmyButler,FGM_JimmyButler,FGA_JimmyButler,FG_PCT_JimmyButler,FG3M_JimmyButler,FG3A_JimmyButler,FG3_PCT_JimmyButler,FTM_JimmyButler,FTA_JimmyButler,FT_PCT_JimmyButler,OREB_JimmyButler,DREB_JimmyButler,REB_JimmyButler,AST_JimmyButler,STL_JimmyButler,BLK_JimmyButler,TO_JimmyButler,PF_JimmyButler,PLUS_MINUS_JimmyButler,PTS_JimmyButler
10994,21700584,Jimmy Butler,0.6,0.555023923444976,0.8693259972489684,0.5938242280285035,0.46153846153846156,0.5660377358490566,0.45161290322580644,0.43065693430656926,0.9171528588098017,0.26436781609195403,0.38095238095238093,0.29508196721311475,0.5353591160220994,0.2916666666666667,0.3,0.467,0.14285714285714285,0.08333333333333333,1.0,0.2,0.15384615384615385,0.833,0.4166666666666667,0.08695652173913043,0.22580645161290322,0.3333333333333333,0.1,0.0,0.16666666666666666,0.0,0.7555555555555555,0.3387096774193548
10995,21700570,Jimmy Butler,0.3368421052631579,0.3516746411483251,0.5763411279229712,0.19833729216152005,0.41025641025641024,0.7358490566037735,0.3010752688172043,0.2968369829683698,0.7082847141190198,0.3882503192848021,0.2619047619047619,0.3770491803278688,0.5756906077348066,0.125,0.24,0.25,0.0,0.125,0.0,0.32,0.2564102564102564,0.8,0.16666666666666666,0.0,0.06451612903225806,0.25,0.3,0.0,0.3333333333333333,0.16666666666666666,0.45555555555555555,0.22580645161290322
10996,21700557,Jimmy Butler,0.4105263157894737,0.6148325358851674,0.874828060522696,0.5546318289786223,0.358974358974359,0.39622641509433965,0.44086021505376344,0.49635036496350365,0.7666277712952159,0.11621966794380588,0.14285714285714285,0.19672131147540983,0.6422651933701657,0.2916666666666667,0.34,0.412,0.0,0.08333333333333333,0.0,0.64,0.46153846153846156,0.889,0.16666666666666666,0.043478260869565216,0.0967741935483871,0.16666666666666666,0.2,0.1,0.16666666666666666,0.16666666666666666,0.5,0.4838709677419355
10997,21700548,Jimmy Butler,0.5789473684210527,0.5669856459330143,0.8624484181568088,0.41567695961995244,0.46153846153846156,0.4528301886792453,0.43010752688172044,0.48905109489051096,0.6382730455075846,0.39335887611749687,0.3333333333333333,0.2786885245901639,0.6151933701657458,0.3333333333333333,0.28,0.5710000000000001,0.07142857142857142,0.041666666666666664,1.0,0.44,0.28205128205128205,1.0,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.375,0.3,0.1,0.5833333333333334,0.3333333333333333,0.6555555555555556,0.45161290322580644
10998,21700538,Jimmy Butler,0.3263157894736842,0.31339712918660256,0.6946354883081156,0.4750593824228028,0.3076923076923077,0.49056603773584906,0.5483870967741935,0.5620437956204378,0.8133022170361727,0.2694763729246488,0.38095238095238093,0.39344262295081966,0.4472375690607735,0.3333333333333333,0.22,0.727,0.0,0.0,0.0,0.4,0.28205128205128205,0.909,0.16666666666666666,0.17391304347826086,0.1935483870967742,0.20833333333333334,0.3,0.0,0.08333333333333333,0.0,0.8222222222222222,0.41935483870967744
10999,21700518,Jimmy Butler,0.45263157894736844,0.6937799043062202,0.9147180192572214,0.39548693586698325,0.38461538461538464,0.3584905660377358,0.43010752688172044,0.5669099756690997,0.6861143523920653,0.40996168582375486,0.38095238095238093,0.21311475409836064,0.7135359116022099,0.25,0.32,0.375,0.07142857142857142,0.25,0.1669999999999999,0.28,0.1794871794871795,1.0,0.16666666666666666,0.13043478260869565,0.16129032258064516,0.2916666666666667,0.2,0.0,0.3333333333333333,0.3333333333333333,0.45555555555555555,0.3225806451612903
11000,21700510,Jimmy Butler,0.7263157894736842,0.6339712918660286,0.6327372764786795,0.49168646080760087,0.48717948717948717,0.4716981132075472,0.7419354838709677,0.5255474452554745,0.8121353558926488,0.4916985951468711,0.5238095238095238,0.45901639344262296,0.7027624309392265,0.4166666666666667,0.4,0.5,0.21428571428571427,0.25,0.5,0.64,0.46153846153846156,0.889,0.0,0.17391304347826086,0.12903225806451613,0.20833333333333334,0.1,0.0,0.08333333333333333,0.0,0.5333333333333333,0.6290322580645161
11001,21700497,Jimmy Butler,0.47368421052631576,0.4258373205741626,0.5873452544704263,0.39548693586698325,0.3333333333333333,0.37735849056603776,0.6989247311827957,0.8199513381995133,0.8331388564760793,0.4393358876117497,0.6190476190476191,0.36065573770491804,0.6803867403314916,0.4583333333333333,0.4,0.55,0.07142857142857142,0.2916666666666667,0.143,0.0,0.0,0.0,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.3333333333333333,0.2,0.0,0.16666666666666666,0.0,0.6666666666666666,0.3709677419354839
11002,21700490,Jimmy Butler,0.49473684210526314,0.49760765550239233,0.484181568088033,0.40855106888361037,0.41025641025641024,0.3584905660377358,0.6344086021505376,0.6180048661800486,0.8389731621936989,0.47892720306513414,0.3333333333333333,0.4426229508196721,0.6262430939226519,0.4166666666666667,0.38,0.526,0.0,0.125,0.0,0.48,0.3333333333333333,0.923,0.16666666666666666,0.17391304347826086,0.1935483870967742,0.125,0.0,0.1,0.08333333333333333,0.3333333333333333,0.5,0.5161290322580645
11003,21700462,Jimmy Butler,0.47368421052631576,0.5813397129186603,0.7138927097661624,0.5510688836104511,0.48717948717948717,0.4716981132075472,0.6021505376344086,0.6034063260340632,0.9381563593932322,0.425287356321839,0.5714285714285714,0.2786885245901639,0.5776243093922652,0.3333333333333333,0.3,0.5329999999999999,0.07142857142857142,0.16666666666666666,0.25,0.32,0.20512820512820512,1.0,0.08333333333333333,0.043478260869565216,0.06451612903225806,0.16666666666666666,0.2,0.0,0.25,0.16666666666666666,0.4222222222222222,0.4032258064516129
